open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
2024-10-31 17:00:00,2552.89,2561.0,2523.15,2542.49,23602.4282,2024-10-31 17:59:59.999,59954268.101202,191247,10445.2138,26540666.024487
2024-10-31 18:00:00,2542.49,2542.93,2506.3,2525.19,30660.9699,2024-10-31 18:59:59.999,77329613.99855,268704,14313.5078,36112793.054237
2024-10-31 19:00:00,2525.18,2531.86,2511.6,2514.33,11456.8286,2024-10-31 19:59:59.999,28899387.273413,131034,5993.3503,15118714.706883
2024-10-31 20:00:00,2514.34,2528.35,2503.0,2520.82,19981.5899,2024-10-31 20:59:59.999,50315293.937945,155203,9752.8205,24561404.347317
2024-10-31 21:00:00,2520.82,2527.5,2515.49,2525.05,9532.3752,2024-10-31 21:59:59.999,24042749.520447,72577,5567.7419,14043622.48682
2024-10-31 22:00:00,2525.05,2525.72,2506.55,2521.62,11803.533,2024-10-31 22:59:59.999,29686203.306398,83653,6165.9157,15510219.946458
2024-10-31 23:00:00,2521.61,2530.07,2514.2,2518.61,12015.8168,2024-10-31 23:59:59.999,30327544.221071,70636,6702.1078,16911864.797175
2024-11-01 00:00:00,2518.61,2533.25,2517.21,2524.61,9848.7794,2024-11-01 00:59:59.999,24884583.378122,90326,5687.5265,14374092.134362
2024-11-01 01:00:00,2524.6,2530.79,2495.42,2501.51,26614.1728,2024-11-01 01:59:59.999,66812375.758187,240240,11076.8975,27822656.267446
2024-11-01 02:00:00,2501.5,2512.63,2467.67,2510.01,40134.1753,2024-11-01 02:59:59.999,99998717.948662,280293,20500.1218,51089405.733029
2024-11-01 03:00:00,2510.01,2519.84,2498.32,2503.2,10094.2052,2024-11-01 03:59:59.999,25337806.787515,111671,4456.9278,11189347.045248
2024-11-01 04:00:00,2503.2,2516.2,2501.5,2513.35,5239.7244,2024-11-01 04:59:59.999,13141883.148517,71347,2865.4631,7188021.077334
2024-11-01 05:00:00,2513.36,2515.0,2507.6,2510.29,7313.1269,2024-11-01 05:59:59.999,18361544.676878,58372,3325.5493,8349976.657961
2024-11-01 06:00:00,2510.29,2513.4,2500.11,2500.4,11657.4784,2024-11-01 06:59:59.999,29226341.940566,101730,4880.4675,12235826.149598
2024-11-01 07:00:00,2500.39,2507.9,2485.35,2504.12,19518.0045,2024-11-01 07:59:59.999,48756032.773549,163797,9618.0176,24022785.490568
2024-11-01 08:00:00,2504.12,2515.48,2494.55,2501.03,14829.17,2024-11-01 08:59:59.999,37177263.286375,109973,6078.1444,15239796.022543
2024-11-01 09:00:00,2501.03,2513.55,2498.62,2510.82,8868.8199,2024-11-01 09:59:59.999,22231548.482858,78912,4558.662,11429525.336317
2024-11-01 10:00:00,2510.82,2524.89,2509.22,2518.74,18157.093,2024-11-01 10:59:59.999,45706460.212091,143379,7313.4306,18410384.118075
2024-11-01 11:00:00,2518.75,2525.8,2515.43,2515.44,8479.1852,2024-11-01 11:59:59.999,21376856.065613,77615,2895.7284,7301321.965622
2024-11-01 12:00:00,2515.44,2543.14,2514.69,2536.8,22421.6351,2024-11-01 12:59:59.999,56744642.268238,170038,10916.2685,27635397.167116
2024-11-01 13:00:00,2536.8,2575.68,2530.1,2573.99,30193.4227,2024-11-01 13:59:59.999,77074051.878947,231343,15279.4235,39027693.075696
2024-11-01 14:00:00,2573.99,2586.8,2551.02,2561.82,43103.046,2024-11-01 14:59:59.999,110766502.310375,295490,21382.3099,54949221.352544
2024-11-01 15:00:00,2561.81,2565.0,2481.68,2500.03,52382.9551,2024-11-01 15:59:59.999,131901213.655913,385119,22682.4447,57133184.717569
2024-11-01 16:00:00,2500.02,2538.58,2498.64,2518.4,31051.0884,2024-11-01 16:59:59.999,78187425.028666,293913,15132.4751,38105531.465671
2024-11-01 17:00:00,2518.4,2530.58,2507.49,2513.6,14366.7345,2024-11-01 17:59:59.999,36177656.579184,192724,7142.0708,17984592.19232
2024-11-01 18:00:00,2513.6,2517.62,2505.8,2508.39,10750.8032,2024-11-01 18:59:59.999,27008308.824641,131115,5021.5566,12616556.294675
2024-11-01 19:00:00,2508.39,2517.48,2495.2,2514.49,14648.5301,2024-11-01 19:59:59.999,36723012.725469,142242,7255.8143,18194277.901108
2024-11-01 20:00:00,2514.5,2527.46,2512.15,2520.61,8483.4089,2024-11-01 20:59:59.999,21382458.791896,54484,4424.8567,11151713.920484
2024-11-01 21:00:00,2520.61,2520.79,2485.05,2505.9,12775.6429,2024-11-01 21:59:59.999,31936527.670564,87766,4830.5845,12074460.613104
2024-11-01 22:00:00,2505.9,2514.18,2503.99,2513.23,4818.1043,2024-11-01 22:59:59.999,12091588.103955,64729,2856.6581,7169532.684159
2024-11-01 23:00:00,2513.22,2517.33,2510.25,2511.49,4499.8011,2024-11-01 23:59:59.999,11311231.415134,38225,2057.717,5173882.921018
2024-11-02 00:00:00,2511.49,2520.0,2510.61,2515.98,4645.7606,2024-11-02 00:59:59.999,11687202.502445,40252,2859.9629,7195143.237535
2024-11-02 01:00:00,2515.98,2520.0,2511.22,2514.8,3723.8564,2024-11-02 01:59:59.999,9363571.582145,31139,1785.5531,4490752.979469
2024-11-02 02:00:00,2514.8,2523.45,2511.86,2511.86,7203.9834,2024-11-02 02:59:59.999,18131818.711831,36095,3047.0952,7672729.184585
2024-11-02 03:00:00,2511.87,2515.4,2501.0,2506.7,8286.9829,2024-11-02 03:59:59.999,20796794.470139,35075,4025.5862,10104759.756787
2024-11-02 04:00:00,2506.71,2509.0,2502.0,2505.31,3308.2346,2024-11-02 04:59:59.999,8288154.607831,30875,1516.8976,3800240.163362
2024-11-02 05:00:00,2505.31,2513.65,2499.59,2513.0,4326.1897,2024-11-02 05:59:59.999,10847634.44151,36193,2527.3867,6338624.44549
2024-11-02 06:00:00,2513.0,2513.87,2505.3,2511.86,3440.5361,2024-11-02 06:59:59.999,8630239.738373,26423,1619.7127,4063997.246491
2024-11-02 07:00:00,2511.86,2512.15,2505.48,2507.35,4768.312,2024-11-02 07:59:59.999,11958966.230861,32669,1525.7995,3826757.002108
2024-11-02 08:00:00,2507.34,2510.3,2495.0,2496.0,7274.3128,2024-11-02 08:59:59.999,18198225.174534,46380,2540.1199,6355733.485025
2024-11-02 09:00:00,2495.99,2505.0,2491.2,2497.23,5726.1987,2024-11-02 09:59:59.999,14308986.664483,47001,2636.6987,6588553.947548
2024-11-02 10:00:00,2497.22,2502.64,2492.89,2502.21,4233.1426,2024-11-02 10:59:59.999,10575519.5494,45827,2033.1672,5080145.966139
2024-11-02 11:00:00,2502.2,2506.32,2499.5,2502.13,3319.0207,2024-11-02 11:59:59.999,8307951.578786,31205,1630.3353,4081009.564997
2024-11-02 12:00:00,2502.14,2504.5,2483.2,2488.33,10579.841,2024-11-02 12:59:59.999,26365451.124018,98693,4219.2483,10513703.545392
2024-11-02 13:00:00,2488.33,2498.79,2470.0,2480.29,23065.5094,2024-11-02 13:59:59.999,57301157.390479,140887,10392.8625,25821589.264829
2024-11-02 14:00:00,2480.29,2490.39,2476.0,2490.28,14672.004,2024-11-02 14:59:59.999,36417258.230338,123248,7926.4239,19674317.393585
2024-11-02 15:00:00,2490.27,2492.25,2478.1,2488.79,7254.8178,2024-11-02 15:59:59.999,18035307.18789,84565,4167.7477,10360827.795193
2024-11-02 16:00:00,2488.78,2497.73,2482.68,2494.7,4857.9733,2024-11-02 16:59:59.999,12100554.706279,57011,2603.6599,6486061.837209
2024-11-02 17:00:00,2494.71,2495.2,2480.0,2485.9,6721.1331,2024-11-02 17:59:59.999,16719527.226362,61230,2615.3513,6502781.16666
2024-11-02 18:00:00,2485.89,2491.58,2479.3,2487.29,4489.0147,2024-11-02 18:59:59.999,11156559.197404,66861,2180.8945,5420729.928262
2024-11-02 19:00:00,2487.29,2494.53,2485.55,2493.02,2542.6861,2024-11-02 19:59:59.999,6332134.84353,34774,1429.3744,3559845.651692
2024-11-02 20:00:00,2493.01,2496.76,2491.4,2495.6,3707.7868,2024-11-02 20:59:59.999,9246822.017927,37283,1835.0013,4575793.288979
2024-11-02 21:00:00,2495.59,2496.6,2491.8,2493.81,2117.0363,2024-11-02 21:59:59.999,5279113.254504,16916,1121.9672,2797753.307771
2024-11-02 22:00:00,2493.81,2497.89,2490.3,2491.45,2795.2978,2024-11-02 22:59:59.999,6970036.589832,30791,1164.3776,2903427.488028
2024-11-02 23:00:00,2491.44,2494.37,2485.1,2494.23,2901.4992,2024-11-02 23:59:59.999,7221320.871476,36635,1333.9981,3320212.526506
